DATA,PRATOPRINCIPAL,OVOS,VEGETARIANO,GUARNICAO,ARROZ,FEIJAO,SALADA1,SALADA2,SUCO,SOBREMESA,HORARIO
13/07,CUBOS SUÍNO AOBARBECUE,FRITO/COZIDO,PTS COM VAGEM E BRÓCOLIS,CREME DE ESPINAFRE,BRANCO/INTEGRAL,PRETO,MIX DE ALFACE(VERDE E ROXA),CENOURA RALADA,LARANJA,MELANCIA/PUDIM DECOCO,ALMOÇO
15/07,FRANGO XADREZ,FRITO/COZIDO,PAELLA VEGANA,REPOLHO REFOGADO,BRANCO/INTEGRAL,VERMELHO,MIX DE ALFACE(VERDE E ROXA),TOMATE EM RODELAS,ABACAXI,LARANJA,ALMOÇO
15/07,ISCA SUÍNA AOBARBECUE,FRITO/COZIDO,BATATA BAROA COM ERVILHA E CHIA,VIRADO DE CEBOLA,BRANCO/INTEGRAL,VERMELHO,MIX DE ALFACE(VERDE E ROXA),CENOURA RALADA,ABACAXI,MAÇÃ,JANTAR
16/07,PEIXE ENSOPADO,FRITO/COZIDO,GRÃO DE BICO XADREZ,CHUCHU REFOGADO,BRANCO/INTEGRAL,CARIOCA,ALFACE CRESPA,BETERRABA RALADA,MELANCIA COMHORTELÃ,BANANA,ALMOÇO
16/07,CARNE MOÍDA AO SUGO,FRITO/COZIDO,MIX DE FEIJÃO BRANCO COM BATATABAROA E VAGEM,ANGU,BRANCO/INTEGRAL,CARIOCA,ALFACE CRESPA,ABOBRINHA RALADA,MELANCIA COMHORTELÃ,LARANJA/DOCE DE LEITE,JANTAR
17/07,SOBRECOXA CROCANTE,FRITO/COZIDO,CASSOULET VEGANO,VIRADO DE CEBOLA,BRANCO/INTEGRAL,PRETO,COUVE,PEPINO COM MILHO,MARACUJÁ,MAÇÃ/PAÇOCA,ALMOÇO
17/07,CARNE DE PANELA,FRITO/COZIDO,GRÃO DE BICO XADREZ,CALDO DE MANDIOCA,BRANCO/INTEGRAL,PRETO,COUVE,VINAGRETE,MARACUJÁ,MELANCIA/GELATINADE MORANGO,JANTAR
18/07,CUBOS SUÍNO AOBARBECUE,FRITO/COZIDO,HAMBURGUER DE AVEIA E BERINJELA,POLENTA TEMPERADA,BRANCO/INTEGRAL,VERMELHO,ALMEIRÃO,TABULE,LARANJA,BANANA/PUDIM DECHOCOLATE,ALMOÇO
18/07,PEIXE ENSOPADO,FRITO/COZIDO,QUIBE DE AVEIA COM ORA-PRO-NÓBIS,CHUCHU REFOGADO,BRANCO/INTEGRAL,VERMELHO,ALMEIRÃO,BETERRABA RALADA,LARANJA,MAÇÃ,JANTAR
19/07,ISCAS DE FRANG0 COMPIMENTÕES COLORIDOS,FRITO/COZIDO,BOLINHO DE AVEIA COM ABÓBORA ELINHAÇA,MACARRÃO AO ALHO EÓLEO,BRANCO/INTEGRAL,PRETO,COUVE,PEPINO EM CUBOS,MARACUJÁ,MELANCIA,ALMOÇO
